Тест;bar x;LU;;QR;
;;x;d;x;d
0;[1.0, 2.0, 3.0];[1.0, 2.0, 3.0];0;[0.9999999999999963, 2.000000000000002, 3.0];0.00000000000000588418203051333
1;[1.0, 1.0, 1.0];[1.0, 1.0, 1.0];0;[1.0, 1.0, 0.9999999999999997];0.00000000000000033306690738754696
2;[1.6163793103448276, 1.5043103448275863, 1.4267241379310345];[1.6163793103448274, 1.504310344827586, 1.4267241379310345];0.0000000000000004440892098500626;[1.6163793103448272, 1.5043103448275854, 1.4267241379310345];0.0000000000000013322676295501878
3;[1.4462540716612378, 1.1661237785016287, 1.1074918566775245];[1.4462540716612378, 1.1661237785016287, 1.1074918566775245];0;[1.4462540716612378, 1.1661237785016287, 1.107491856677525];0.0000000000000004440892098500626
4;[-0.022727272727272728, 0.6590909090909091, 0.7954545454545454];[-0.022727272727272707, 0.6590909090909092, 0.7954545454545453];0.000000000000000242861286636753;[-0.022727272727273432, 0.6590909090909094, 0.7954545454545456];0.000000000000001259409243559162
