x,u,\Delta_u,\bar{u},\bar{\Delta_u},v,\Delta_v,\bar{v},\bar{\Delta_v},z,\Delta_z,\bar{z},\bar{\Delta_z}
0.1,0.8674232252927832,0.0000004,0.867423225594017,0.00000000030123381566937724,0.9899494936611666,0.0000005,0.9899494936611666,0,0.8762297782331905,0.000001,0.8762297785374825,0.0000000003042920360130097
0.11,0.8889282483158724,0.0000004,0.8889282488354225,0.0000000005195501806554148,0.9822423326246941,0.0000005,0.9822423326246941,0,0.9049989180781153,0.000001,0.9049989186070583,0.000000000528943000510651
0.12000000000000001,0.9086334952392869,0.0000004,0.9086334961158833,0.0000000008765963510626307,0.9732420048477152,0.0000005,0.9732420048477152,0,0.9336151653066622,0.000001,0.9336151662073594,0.000000000900697183503496
0.13,0.92649906959355,0.0000004,0.926499071042854,0.000000001449304010137098,0.9629122493768578,0.0000005,0.9629122493768577,-0.00000000000000011102230246251565,0.9621843217729629,0.000001,0.9621843232780887,0.000000001505125801770646
0.14,0.9424887995800972,0.0000004,0.9424888019316975,0.0000000023516002478629616,0.9512097560475292,0.0000005,0.9512097560475292,0,0.9908317209616633,0.000001,0.9908317234338837,0.0000000024722204283733618
0.15000000000000002,0.9565703112912796,0.0000004,0.9565703150409859,0.0000000037497063232194705,0.9380831519646858,0.0000005,0.9380831519646858,0,1.0197073780590504,0.000001,1.0197073820562508,0.000000003997200348493379
0.16,0.9687151001671679,0.0000004,0.9687151001182652,-0.000000000048902659699479045,0.9234717104492156,0.0000005,0.9234717104492156,0,1.0489927186788905,0.000001,1.0489927186259353,-0.00000000005295519578396579
0.17,0.9788985682043951,0.0000004,0.9788985681235746,-0.00000000008082057245673013,0.9073036977771004,0.0000005,0.9073036977771004,0,1.0789094881930963,0.000001,1.0789094881040187,-0.00000000008907763415777481
0.18,0.9871001011452577,0.0000004,0.9871001010138504,-0.00000000013140732946226308,0.8894942383174833,0.0000005,0.8894942383174834,0.00000000000000011102230246251565,1.109731866293367,0.000001,1.1097318661456341,-0.00000000014773293699477108
0.19,0.9933030936978311,0.0000004,0.9933030934874181,-0.00000000021041302034063847,0.8699425268372618,0.0000005,0.8699425268372618,0,1.1418031226833518,0.000001,1.1418031224414817,-0.00000000024187007952036765
0.2,0.9974949869361672,0.0000004,0.9974949866040544,-0.0000000003321127817201841,0.8485281374238569,0.0000005,0.8485281374238569,0,1.175559115770251,0.000001,1.1755591153788523,-0.00000000039139869123516746
