x;f;L_3;Lopt_3;N_3;Nopt_3;S1_3;S2_3;S3_3;L_5;Lopt_5;N_5;Nopt_5;S1_5;S2_5;S3_5;L_10;Lopt_10;N_10;Nopt_10;S1_10;S2_10;S3_10;L_20;Lopt_20;N_20;Nopt_20;S1_20;S2_20;S3_20;L_50;Lopt_50;N_50;Nopt_50;S1_50;S2_50;S3_50;L_100;Lopt_100;N_100;Nopt_100;S1_100;S2_100;S3_100
-0.8;-0.8427100355086726;-0.8414483415651477;-0.8420277222760388;-0.8414483415651474;-0.8420277222760387;-0.9398650027095348;-0.8417748755395968;-0.8427138373886155;-0.8426371581999383;-0.8426812850516867;-0.8426371581999389;-0.8426812850516867;-0.8848354608475371;-0.8422858552285801;-0.8427010524191018;-0.8427100355086308;-0.8427100263083848;-0.8427100355086729;-0.8427100263083188;-0.8427100355086727;-0.8427100355086727;-0.8427100355086726;-0.8427100433521628;-0.8427100362326521;-0.8427100355086726;-0.8427100355086722;-0.8427100355086725;-0.8427100355086727;-0.8427100355086725;91184163.68970156;25302.655569434166;-0.842710054999777;-0.8427100354700144;-0.8427100355086725;-0.8427100355086726;-0.8427100355086736;-26560434222738337000000000000000000;12510964602797040000000000;-4255860867247498000;-5968334060976.901;-0.8427100355086726;-0.8427100355086727;-0.8427100355329458
-0.78;-0.800719837555433;-0.7994092588885903;-0.7999751707921465;-0.7994092588885902;-0.7999751707921464;-0.9029178780195259;-0.7996429869848911;-0.8007304389434617;-0.8006525390054069;-0.8006963004678544;-0.8006525390054074;-0.8006963004678543;-0.8423853819713283;-0.8002612724085612;-0.8007134221490391;-0.8007198298955273;-0.8007198322120777;-0.8007198298955625;-0.8007198322120108;-0.8044724991663504;-0.8007575633362691;-0.8007253067765412;-0.8007198433518522;-0.8007198376853868;-0.8007198375554337;-0.8007198375554329;-0.8023950720185972;-0.8007150244670489;-0.800692126852361;41164780.378225684;11287.906236678362;-0.8007198463792415;-0.800719837533505;-0.8011397822744354;-0.8007218670525712;-0.8020933658097036;-3932567399204538500000000000000000;2445751226476676000000000;-664690522867730600;-2550551382136.91;-0.8007198375554331;-0.800719837555433;-0.8007198375707958
-0.76;-0.7595695290401985;-0.7582230068374051;-0.758775042955221;-0.7582230068374051;-0.7587750429552208;-0.8659707533295171;-0.7583518709487851;-0.7595880812917215;-0.7595087779003786;-0.7595519555616581;-0.7595087779003791;-0.7595519555616582;-0.7999353030951197;-0.7590876817009211;-0.7595659888644019;-0.7595695167134027;-0.7595695280899544;-0.759569516713432;-0.7595695280898883;-0.7662349628240283;-0.7596306324594393;-0.7595809367254479;-0.7595695332986777;-0.7595695287823306;-0.7595695290401996;-0.7595695290401988;-0.7620801085285217;-0.7595600372011992;-0.7595133252352765;18215881.174582243;4926.57455214113;-0.7595695329783997;-0.7595695290278013;-0.7595695290401984;-0.7595695290401985;-0.7595695290402134;-490759551288389540000000000000000;453592055174890700000000;-94954653761272640;-1113114642228.4187;-0.7595695290401985;-0.7595695290401986;-0.759569528978318
-0.74;-0.7192568221701426;-0.7178868972439402;-0.7184246915286491;-0.7178868972439401;-0.7184246915286489;-0.8290236286395081;-0.7179015274312783;-0.7192843499600688;-0.7192033258659699;-0.7192457094265227;-0.7192033258659705;-0.7192457094265227;-0.757485224218911;-0.7187650831056602;-0.7192562613820472;-0.7192568077172357;-0.7192568256119551;-0.7192568077172601;-0.7192568256118915;-0.7279974264817058;-0.7193292428781831;-0.7192740568824871;-0.7192568252736;-0.719256821797865;-0.7192568221701432;-0.7192568221701431;-0.721765145038446;-0.7192450737111237;-0.7191859962013104;7895569.583277553;2097.4885818623006;-0.7192568238935755;-0.7192568221631531;-0.7196744948877047;-0.7192548005686973;-0.7141307407703152;-40484457189218237000000000000000;79938181109580450000000;-11877386474160956;-492099261038.7936;-0.7192568221701428;-0.7192568221701426;-0.7192568213213235
-0.72;-0.6797794607352109;-0.6783982419405437;-0.6789214692758173;-0.6783982419405434;-0.6789214692758171;-0.7920765039494992;-0.6782919564323711;-0.6798168304751774;-0.6797336893112439;-0.6797750771477516;-0.6797336893112442;-0.6797750771477515;-0.7150351453427024;-0.6792934766227787;-0.6797817485188319;-0.679779446166606;-0.6797794681142321;-0.6797794461666259;-0.679779468114172;-0.6897598901393837;-0.6798533945925006;-0.6798017987747542;-0.6797794629747823;-0.6797794604824786;-0.6797794607352109;-0.6797794607352114;-0.6814501815483706;-0.6797701339968223;-0.6797225052943532;3349432.5413939394;868.1592810936272;-0.6797794614719134;-0.6797794607312788;-0.6797794607352108;-0.6797794607352108;-0.6797794607352046;2106840560201247100000000000000;13499297419947992000000;-1152298495832679;-217752530571.54047;-0.6797794607352109;-0.6797794607352109;-0.6797794550657272
-0.7;-0.641135218058295;-0.6397543527595632;-0.6402627289601124;-0.639754352759563;-0.6402627289601123;-0.7551293792594904;-0.6395231579520634;-0.6411831083637214;-0.641097427431147;-0.6411376271278362;-0.6410974274311474;-0.641137627127836;-0.6725850664664936;-0.6406728622522762;-0.6411399590916127;-0.641135204840475;-0.6411352285728023;-0.6411352048404912;-0.6411352285727475;-0.6515223537970615;-0.6412030876023915;-0.6411612939293436;-0.6411352196567544;-0.641135218059627;-0.641135218058295;-0.6411352180582954;-0.6411352180582951;-0.641135218058295;-0.6411352180582952;1389338.8887059009;347.87774578493554;-0.6411352183665768;-0.6411352180560853;-0.6415506778669181;-0.6411372465438249;-0.6602660080266674;2033639627312961700000000000000;2234737221970913400000;-39331492508311.055;-94889286766.16867;-0.6411352180582951;-0.641135218058295;-0.6411352194845676
-0.6799999999999999;-0.6033218949986252;-0.6019525415333471;-0.602445823344921;-0.6019525415333469;-0.6024458233449209;-0.7181822545694816;-0.6015951319903552;-0.6033807691523747;-0.6032921495644499;-0.6033309784117642;-0.6032921495644502;-0.6033309784117643;-0.6301349875902851;-0.6029032399941526;-0.6033284019172466;-0.6033218840855792;-0.6033219076161953;-0.6033218840855925;-0.6033219076161467;-0.6132848174547393;-0.6033783219078561;-0.6033496738733506;-0.6033218961265086;-0.6033218952758053;-0.6033218949986249;-0.603321894998625;-0.6049751088637259;-0.6033312729788691;-0.6034249803658892;562902.8652551554;133.6618187817803;-0.6033218951251892;-0.6033218949973843;-0.6033218949986253;-0.6033218949986252;-0.6033218949987713;624643893138278460000000000000;379670640541874260000;18595650479038.027;-39807147603.73697;-0.6033218949986252;-0.6033218949986252;-0.6033218801021576
-0.6599999999999999;-0.5663373180044599;-0.5649901200942432;-0.5654681051936297;-0.5649901200942432;-0.5654681051936296;-0.6812351298794725;-0.5645078785472464;-0.566407398367811;-0.5663155125516844;-0.5663527980123282;-0.5663155125516848;-0.5663527980123283;-0.5876849087140763;-0.5659846098484084;-0.5663445858125904;-0.56633730989828;-0.5663373315766161;-0.5663373098982906;-0.5663373315765744;-0.5750472811124171;-0.5663790975088943;-0.5663640701338698;-0.566337318791554;-0.5663373184878879;-0.5663373180044597;-0.5663373180044592;-0.5688149996691569;-0.5663492458418716;-0.5665465594053378;222499.03778260257;47.69175318048656;-0.5663373180552183;-0.5663373180037625;-0.5667506161049651;-0.5663352954407419;-0.4949402331405963;146979489044353540000000000000;70411089047345140000;6765385576810.964;-15491425024.239115;-0.5663373180044597;-0.5663373180044597;-0.5663370490074158
-0.64;-0.5301793372113053;-0.5288644002746;-0.5293269272696255;-0.5288644002745999;-0.5293269272696254;-0.6442880051894639;-0.5282613976227373;-0.5302605815367049;-0.5301652180930843;-0.530200798235434;-0.5301652180930847;-0.5302007982354341;-0.545234829837868;-0.5299169718150434;-0.5301860195945013;-0.5301793320393897;-0.5301793505788092;-0.5301793320393982;-0.5301793505787746;-0.5368097447700949;-0.5302054144055063;-0.5302016142379965;-0.530179337755256;-0.5301793377796811;-0.5301793372113051;-0.5301793372113046;-0.5326548904745882;-0.5301891366473028;-0.530443202693705;85686.21542796193;14.339809174432958;-0.5301793372310635;-0.530179337210912;-0.5301793372113053;-0.5301793372113053;-0.5301793372123029;29958102364909720000000000000;14753391555945886000;1584374117211.2053;-5155836424.92335;-0.5301793372113052;-0.5301793372113053;-0.5301789045333862
-0.62;-0.4948458245820405;-0.4935726939067649;-0.49401964233629453;-0.4935726939067649;-0.49401964233629436;-0.6073408804994551;-0.49285568921682743;-0.49493790418572964;-0.49483901010652237;-0.49487273400540854;-0.4948390101065226;-0.49487273400540854;-0.5027847509616592;-0.49470032589405744;-0.4948502120798357;-0.4948458221811719;-0.49484583666548526;-0.4948458221811784;-0.4948458366654582;-0.4985722084277727;-0.49485727259769163;-0.49485943771282503;-0.49484582495513874;-0.49484582510517494;-0.49484582458204035;-0.4948458245820396;-0.49649478128001934;-0.4948509453951625;-0.49505815774805456;32101.3347943303;2.6141947394680756;-0.49484582458951276;-0.49484582458181803;-0.49525700464837796;-0.4948478521472348;-0.761303368622066;5511802739301426000000000000;3391079196423883300;307617276628.37933;-1073140206.713999;-0.4948458245820404;-0.4948458245820405;-0.4948463439941406
